City Id,Country Id,Zones Id,City Name,City Slug,Latitude,Longitude,Scall Factor,Is Zoom Home,Map Type,Post Type,Category ids,Is Default,Message,Color,Image,header color,header image
56,13,197,Upwey,upwey,-37.903,145.33,13,,ROADMAP,"event,listing",,0,,,,#333333,
57,13,197,Wandin East,wandin-east,-37.814212,145.45577,13,,ROADMAP,"event,listing",,0,,,,#333333,
58,13,197,Wandin North,wandin-north,-37.769,145.411,13,,ROADMAP,"event,listing",,0,,,,#333333,
59,13,197,Warburton,warburton,-37.7536,145.6887,13,,ROADMAP,"event,listing",,0,,,,#333333,
60,13,197,Warburton East,warburton-east,-37.7276,145.7537,13,,ROADMAP,"event,listing",,0,,,,#333333,
61,13,197,Wesburn,wesburn,-37.7819,145.6143,13,,ROADMAP,"event,listing",,0,,,,#333333,
62,13,197,Woori Yallock,woori-yallock,-37.7806,145.5382,13,,ROADMAP,"event,listing",,0,,,,#333333,
63,13,197,Wonga Park,wonga-park,-37.7357,145.2698,13,,ROADMAP,"event,listing",,0,,,,#333333,
64,13,197,Yarra Glen,yarra-glen,-37.6573,145.3744,13,,ROADMAP,"event,listing",,0,,,,#333333,
65,13,197,Yarra Junction,yarra-junction,-37.7819,145.6143,13,,ROADMAP,"event,listing",,0,,,,#333333,
66,13,197,Yellingbo,yellingbo,-37.8135,145.5082,13,,ROADMAP,"event,listing",,0,,,,#333333,
67,13,197,Yering,yering,-37.700221,145.358251,13,,ROADMAP,"event,listing",,0,,,,#333333,
68,13,197,St Andrews,saint-andrews,-37.6027,145.2729,13,,ROADMAP,"event,listing",,0,,,,#333333,
69,13,197,Warrandyte,warrandyte,-37.738000,145.223000,13,,ROADMAP,"event,listing",,0,,,,#333333,
70,13,197,Hurstbridge,hurstbridge,-37.638889,145.195000,13,,ROADMAP,"event,listing",,0,,,,#333333,
71,13,197,Marysville,marysville,-37.508394,145.747420,13,,ROADMAP,"event,listing",,0,,,,#333333,
72,13,197,Eltham,eltham,-37.715000,145.158000,13,,ROADMAP,"event,listing",,0,,,,#333333,
73,13,197,King Lake,king-lake,-37.518382,145.359126,13,,ROADMAP,"event,listing",,0,,,,#333333,
